Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura testSuite,Chrome 113.0.5672.93,,,2023-05-09 14:58:33,2023-05-09 14:59:09,35.839s,PASSED
,,,,,,,
Test Cases/cura test case,Chrome 113.0.5672.93,,,2023-05-09 14:58:34,2023-05-09 14:58:58,24.278s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:35,2023-05-09 14:58:49,13.938s,PASSED
maximizeWindow(),Chrome 113.0.5672.93,,,2023-05-09 14:58:49,2023-05-09 14:58:49,0.160s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/01_Make Appointment""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:49,2023-05-09 14:58:50,0.924s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/02_input_Username""), ""John Doe"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:50,2023-05-09 14:58:50,0.401s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/03t_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:50,2023-05-09 14:58:50,0.316s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/04_button_Login""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:50,2023-05-09 14:58:52,1.481s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", true)",Chrome 113.0.5672.93,,,2023-05-09 14:58:52,2023-05-09 14:58:52,0.466s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Seoul CURA Healthcare Center"", true)",Chrome 113.0.5672.93,,,2023-05-09 14:58:52,2023-05-09 14:58:53,0.392s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Tokyo CURA Healthcare Center"", true)",Chrome 113.0.5672.93,,,2023-05-09 14:58:53,2023-05-09 14:58:53,0.445s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/06_input_Apply for hospital""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:53,2023-05-09 14:58:53,0.236s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06_input_Apply for hospital""), 2)",Chrome 113.0.5672.93,,,2023-05-09 14:58:53,2023-05-09 14:58:54,0.188s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06z_radio Medicare""), 2)",Chrome 113.0.5672.93,,,2023-05-09 14:58:54,2023-05-09 14:58:54,0.204s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/07_input_Medicaid_programs""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:54,2023-05-09 14:58:54,0.197s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/07_input_Medicaid_programs""), 2)",Chrome 113.0.5672.93,,,2023-05-09 14:58:54,2023-05-09 14:58:54,0.167s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/08_input_None_programs""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:54,2023-05-09 14:58:54,0.213s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/08_input_None_programs""), 2)",Chrome 113.0.5672.93,,,2023-05-09 14:58:54,2023-05-09 14:58:55,0.157s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/09_input Visit Date""), ""10/05/2000"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:55,2023-05-09 14:58:55,0.370s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/10_comment section""), ""hello this dummy desc"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:55,2023-05-09 14:58:55,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/11_Book Appointment""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:55,2023-05-09 14:58:56,0.553s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/12_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:56,2023-05-09 14:58:56,0.225s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/13_ Homepage""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:56,2023-05-09 14:58:57,0.513s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/14_cura menu""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:57,2023-05-09 14:58:57,0.194s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/15_Logout""))",Chrome 113.0.5672.93,,,2023-05-09 14:58:57,2023-05-09 14:58:57,0.743s,PASSED
closeBrowser(),Chrome 113.0.5672.93,,,2023-05-09 14:58:57,2023-05-09 14:58:58,0.676s,PASSED
,,,,,,,
Test Cases/new table,Chrome 113.0.5672.93,,,2023-05-09 14:58:58,2023-05-09 14:59:09,10.843s,PASSED
"openBrowser(""www.google.com"")",Chrome 113.0.5672.93,,,2023-05-09 14:58:59,2023-05-09 14:59:04,5.376s,PASSED
delay(2),Chrome 113.0.5672.93,,,2023-05-09 14:59:04,2023-05-09 14:59:06,2.154s,PASSED
closeBrowser(),Chrome 113.0.5672.93,,,2023-05-09 14:59:06,2023-05-09 14:59:09,2.752s,PASSED
