Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura testSuite,Chrome 113.0.5672.64,,,2023-05-08 12:18:54,2023-05-08 12:19:33,39.203s,PASSED
,,,,,,,
Test Cases/cura test case,Chrome 113.0.5672.64,,,2023-05-08 12:18:55,2023-05-08 12:19:26,30.765s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 113.0.5672.64,,,2023-05-08 12:18:56,2023-05-08 12:19:13,16.612s,PASSED
maximizeWindow(),Chrome 113.0.5672.64,,,2023-05-08 12:19:13,2023-05-08 12:19:13,0.183s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/01_Make Appointment""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:13,2023-05-08 12:19:14,0.784s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/02_input_Username""), ""John Doe"")",Chrome 113.0.5672.64,,,2023-05-08 12:19:14,2023-05-08 12:19:14,0.377s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/03t_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 113.0.5672.64,,,2023-05-08 12:19:14,2023-05-08 12:19:14,0.299s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/04_button_Login""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:14,2023-05-08 12:19:20,5.256s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", true)",Chrome 113.0.5672.64,,,2023-05-08 12:19:20,2023-05-08 12:19:20,0.446s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Seoul CURA Healthcare Center"", true)",Chrome 113.0.5672.64,,,2023-05-08 12:19:20,2023-05-08 12:19:20,0.351s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Tokyo CURA Healthcare Center"", true)",Chrome 113.0.5672.64,,,2023-05-08 12:19:20,2023-05-08 12:19:21,0.343s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/06_input_Apply for hospital""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:21,2023-05-08 12:19:21,0.193s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06_input_Apply for hospital""), 2)",Chrome 113.0.5672.64,,,2023-05-08 12:19:21,2023-05-08 12:19:21,0.166s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06z_radio Medicare""), 2)",Chrome 113.0.5672.64,,,2023-05-08 12:19:21,2023-05-08 12:19:21,0.142s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/07_input_Medicaid_programs""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:21,2023-05-08 12:19:21,0.156s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/07_input_Medicaid_programs""), 2)",Chrome 113.0.5672.64,,,2023-05-08 12:19:21,2023-05-08 12:19:21,0.122s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/08_input_None_programs""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:21,2023-05-08 12:19:22,0.175s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/08_input_None_programs""), 2)",Chrome 113.0.5672.64,,,2023-05-08 12:19:22,2023-05-08 12:19:22,0.126s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/09_input Visit Date""), ""10/05/2000"")",Chrome 113.0.5672.64,,,2023-05-08 12:19:22,2023-05-08 12:19:22,0.301s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/10_comment section""), ""hello this dummy desc"")",Chrome 113.0.5672.64,,,2023-05-08 12:19:22,2023-05-08 12:19:22,0.272s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/11_Book Appointment""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:22,2023-05-08 12:19:23,0.698s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/12_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 113.0.5672.64,,,2023-05-08 12:19:23,2023-05-08 12:19:23,0.184s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/13_ Homepage""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:23,2023-05-08 12:19:24,0.634s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/14_cura menu""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:24,2023-05-08 12:19:24,0.179s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/15_Logout""))",Chrome 113.0.5672.64,,,2023-05-08 12:19:24,2023-05-08 12:19:25,0.950s,PASSED
closeBrowser(),Chrome 113.0.5672.64,,,2023-05-08 12:19:25,2023-05-08 12:19:26,0.665s,PASSED
,,,,,,,
Test Cases/new table,Chrome 113.0.5672.64,,,2023-05-08 12:19:26,2023-05-08 12:19:33,7.525s,PASSED
"openBrowser(""www.google.com"")",Chrome 113.0.5672.64,,,2023-05-08 12:19:26,2023-05-08 12:19:31,4.302s,PASSED
delay(2),Chrome 113.0.5672.64,,,2023-05-08 12:19:31,2023-05-08 12:19:33,2.061s,PASSED
closeBrowser(),Chrome 113.0.5672.64,,,2023-05-08 12:19:33,2023-05-08 12:19:33,0.683s,PASSED
