Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
cura testSuite,Chrome 112.0.0.0,,,2023-05-02 11:43:20,2023-05-02 11:43:56,35.854s,PASSED
,,,,,,,
Test Cases/cura test case,Chrome 112.0.0.0,,,2023-05-02 11:43:21,2023-05-02 11:43:49,28.142s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 112.0.0.0,,,2023-05-02 11:43:22,2023-05-02 11:43:32,9.893s,PASSED
maximizeWindow(),Chrome 112.0.0.0,,,2023-05-02 11:43:32,2023-05-02 11:43:32,0.186s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/01_Make Appointment""))",Chrome 112.0.0.0,,,2023-05-02 11:43:32,2023-05-02 11:43:33,1.049s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/02_input_Username""), ""John Doe"")",Chrome 112.0.0.0,,,2023-05-02 11:43:33,2023-05-02 11:43:34,0.989s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/03t_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 112.0.0.0,,,2023-05-02 11:43:34,2023-05-02 11:43:34,0.574s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/04_button_Login""))",Chrome 112.0.0.0,,,2023-05-02 11:43:34,2023-05-02 11:43:36,1.268s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", true)",Chrome 112.0.0.0,,,2023-05-02 11:43:36,2023-05-02 11:43:37,1.228s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Seoul CURA Healthcare Center"", true)",Chrome 112.0.0.0,,,2023-05-02 11:43:37,2023-05-02 11:43:38,1.087s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/05_ select_CURA Healthcare Center""), ""Tokyo CURA Healthcare Center"", true)",Chrome 112.0.0.0,,,2023-05-02 11:43:38,2023-05-02 11:43:39,1.081s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/06_input_Apply for hospital""))",Chrome 112.0.0.0,,,2023-05-02 11:43:39,2023-05-02 11:43:39,0.416s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06_input_Apply for hospital""), 2)",Chrome 112.0.0.0,,,2023-05-02 11:43:39,2023-05-02 11:43:40,0.414s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/06z_radio Medicare""), 2)",Chrome 112.0.0.0,,,2023-05-02 11:43:40,2023-05-02 11:43:40,0.401s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/07_input_Medicaid_programs""))",Chrome 112.0.0.0,,,2023-05-02 11:43:40,2023-05-02 11:43:41,0.413s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/07_input_Medicaid_programs""), 2)",Chrome 112.0.0.0,,,2023-05-02 11:43:41,2023-05-02 11:43:41,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/08_input_None_programs""))",Chrome 112.0.0.0,,,2023-05-02 11:43:41,2023-05-02 11:43:41,0.409s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/08_input_None_programs""), 2)",Chrome 112.0.0.0,,,2023-05-02 11:43:41,2023-05-02 11:43:42,0.382s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/09_input Visit Date""), ""10/05/2000"")",Chrome 112.0.0.0,,,2023-05-02 11:43:42,2023-05-02 11:43:43,0.900s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/10_comment section""), ""hello this dummy desc"")",Chrome 112.0.0.0,,,2023-05-02 11:43:43,2023-05-02 11:43:44,0.926s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/11_Book Appointment""))",Chrome 112.0.0.0,,,2023-05-02 11:43:44,2023-05-02 11:43:45,1.147s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/12_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 112.0.0.0,,,2023-05-02 11:43:45,2023-05-02 11:43:45,0.466s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/13_ Homepage""))",Chrome 112.0.0.0,,,2023-05-02 11:43:45,2023-05-02 11:43:46,1.073s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/14_cura menu""))",Chrome 112.0.0.0,,,2023-05-02 11:43:46,2023-05-02 11:43:47,0.535s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/15_Logout""))",Chrome 112.0.0.0,,,2023-05-02 11:43:47,2023-05-02 11:43:48,1.404s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-05-02 11:43:48,2023-05-02 11:43:49,0.851s,PASSED
,,,,,,,
Test Cases/new table,Chrome 112.0.0.0,,,2023-05-02 11:43:49,2023-05-02 11:43:56,7.176s,PASSED
"openBrowser(""www.google.com"")",Chrome 112.0.0.0,,,2023-05-02 11:43:50,2023-05-02 11:43:53,3.795s,PASSED
delay(2),Chrome 112.0.0.0,,,2023-05-02 11:43:53,2023-05-02 11:43:55,2.059s,PASSED
closeBrowser(),Chrome 112.0.0.0,,,2023-05-02 11:43:55,2023-05-02 11:43:56,0.842s,PASSED
